Installed Packages
jakarta-commons-collections-tomcat5.i386 3.1-9jpp.2.fc7.1       installed       
jakarta-commons-daemon.i386              1:1.0.1-6jpp.4.fc8     installed       
jakarta-commons-daemon-javadoc.i386      1:1.0.1-6jpp.4.fc8     installed       
jakarta-commons-dbcp.i386                1.2.1-10jpp.2.fc8      installed       
jakarta-commons-dbcp-javadoc.i386        1.2.1-10jpp.2.fc8      installed       
jakarta-commons-dbcp-tomcat5.i386        1.2.1-10jpp.2.fc8      installed       
jakarta-commons-digester.i386            1.7-6jpp.2             installed       
jakarta-commons-digester-javadoc.i386    1.7-6jpp.2             installed       
jakarta-commons-discovery.i386           1:0.3-4jpp.1           installed       
jakarta-commons-el.i386                  1.0-8jpp.2.fc8         installed       
jakarta-commons-el-javadoc.i386          1.0-8jpp.2.fc8         installed       
jakarta-commons-fileupload.i386          1:1.0-6jpp.1           installed       
jakarta-commons-fileupload-javadoc.i386  1:1.0-6jpp.1           installed       
jakarta-commons-httpclient.i386          1:3.0.1-1jpp.2.fc8     installed       
jakarta-commons-io.noarch                1.2-3jpp.1.fc7         installed       
jakarta-commons-lang.i386                2.1-6jpp.1.fc7         installed       
jakarta-commons-lang-javadoc.i386        2.1-6jpp.1.fc7         installed       
jakarta-commons-launcher.i386            1.1-1jpp.3.fc8         installed       
jakarta-commons-launcher-javadoc.i386    1.1-1jpp.3.fc8         installed       
jakarta-commons-logging.i386             1.0.4-6jpp.4.fc8       installed       
jakarta-commons-logging-javadoc.i386     1.0.4-6jpp.4.fc8       installed       
jakarta-commons-modeler.i386             2.0-3jpp.2.fc8         installed       
jakarta-commons-modeler-javadoc.i386     2.0-3jpp.2.fc8         installed       
jakarta-commons-pool.i386                1.3-9jpp.3.fc8         installed       
jakarta-commons-pool-javadoc.i386        1.3-9jpp.3.fc8         installed       
jakarta-commons-pool-tomcat5.i386        1.3-9jpp.3.fc8         installed       
jakarta-commons-validator.i386           1.1.4-5jpp.2.fc8       installed       
jakarta-commons-validator-javadoc.i386   1.1.4-5jpp.2.fc8       installed       
jakarta-oro.i386                         2.0.8-3jpp.1           installed       
jakarta-oro-javadoc.i386                 2.0.8-3jpp.1           installed       
jakarta-taglibs-standard.i386            1.1.1-7jpp.1           installed       
jakarta-taglibs-standard-javadoc.i386    1.1.1-7jpp.1           installed       
jasper.i386                              1.900.1-7.fc8          installed       
jasper-libs.i386                         1.900.1-7.fc8          installed       
java-1.5.0-gcj.i386                      1.5.0.0-17.fc8         installed       
java-1.5.0-gcj-devel.i386                1.5.0.0-17.fc8         installed       
java-1.5.0-gcj-javadoc.i386              1.5.0.0-17.fc8         installed       
java-1.5.0-gcj-src.i386                  1.5.0.0-17.fc8         installed       
java-1.7.0-icedtea.i586                  1.7.0.0-0.20.b21.snaps installed       
java-1.7.0-icedtea-demo.i586             1.7.0.0-0.20.b21.snaps installed       
java-1.7.0-icedtea-devel.i586            1.7.0.0-0.20.b21.snaps installed       
java-1.7.0-icedtea-javadoc.i586          1.7.0.0-0.20.b21.snaps installed       
java-1.7.0-icedtea-plugin.i586           1.7.0.0-0.20.b21.snaps installed       
java-1.7.0-icedtea-src.i586              1.7.0.0-0.20.b21.snaps installed       
java_cup.i386                            1:0.10-0.k.6jpp.1      installed       
java_cup-javadoc.i386                    1:0.10-0.k.6jpp.1      installed       
java_cup-manual.i386                     1:0.10-0.k.6jpp.1      installed       
jaxen.noarch                             1.1-1jpp.2.fc7         installed       
jdepend.i386                             2.6-6jpp.1             installed       
jdepend-demo.i386                        2.6-6jpp.1             installed       
jdepend-javadoc.i386                     2.6-6jpp.1             installed       
jdom.i386                                1.0-4jpp.2.fc8         installed       
jetty.i386                               5.1.14-1jpp.1.fc8      installed       
jigdo.i386                               0.7.3-4.fc8            installed       
jlex.i386                                1.2.6-5jpp.1           installed       
jlex-javadoc.i386                        1.2.6-5jpp.1           installed       
jline.i386                               0.9.9-1jpp.1.fc7       installed       
jomolhari-fonts.noarch                   0.003-4.fc8            installed       
jpackage-utils.noarch                    1.7.3-1jpp.3.fc8       installed       
jsch.i386                                0.1.31-1jpp.2.fc8      installed       
jtidy.i386                               2:1.0-0.1.r7dev.1jpp.2 installed       
junit.i386                               3.8.2-3jpp.3.fc8       installed       
junit-demo.i386                          3.8.2-3jpp.3.fc8       installed       
junit-javadoc.i386                       3.8.2-3jpp.3.fc8       installed       
junit-manual.i386                        3.8.2-3jpp.3.fc8       installed       
junit4.noarch                            4.3.1-1jpp.1.fc8       installed       
jwhois.i386                              4.0-4.fc8              installed       
jython.i386                              2.2-0.3.Release_2_2bet installed       
jzlib.i386                               1.0.7-4jpp.1           installed       
kacst-fonts.noarch                       1.6.2-2.fc8            installed       
kazehakase-base.i386                     0.5.5-1.fc8            installed       
kazehakase-ruby.i386                     0.5.5-1.fc8            installed       
kbd.i386                                 1.12-27.fc8            installed       
kernel.i686                              2.6.25.11-60.fc8       installed       
kernel.i686                              2.6.25.10-47.fc8       installed       
kernel-headers.i386                      2.6.25.11-60.fc8       installed       
keyutils-libs.i386                       1.2-2.fc6              installed       
keyutils-libs-devel.i386                 1.2-2.fc6              installed       
kpartx.i386                              0.4.7-11.fc7           installed       
krb5-auth-dialog.i386                    0.7-5.fc8              installed       
krb5-devel.i386                          1.6.2-14.fc8           installed       
krb5-libs.i386                           1.6.2-14.fc8           installed       
krb5-workstation.i386                    1.6.2-14.fc8           installed       
kudzu.i386                               1.2.79.2-1             installed       
kudzu-devel.i386                         1.2.79.2-1             installed       
lcms.i386                                1.17-5.fc8             installed       
lcms-devel.i386                          1.17-5.fc8             installed       
lcms-libs.i386                           1.17-5.fc8             installed       
ldapjdk.i386                             4.17-1jpp.7            installed       
ldapjdk-javadoc.i386                     4.17-1jpp.7            installed       
less.i386                                406-14.fc8             installed       
lftp.i386                                3.5.14-3.fc8           installed       
libICE.i386                              1.0.4-2.fc8            installed       
libICE-devel.i386                        1.0.4-2.fc8            installed       
libIDL.i386                              0.8.9-1.fc8            installed       
libIDL-devel.i386                        0.8.9-1.fc8            installed       
libSM.i386                               1.0.2-4.fc8            installed       
libSM-devel.i386                         1.0.2-4.fc8            installed       
libX11.i386                              1.1.3-4.fc8            installed       
libX11-devel.i386                        1.1.3-4.fc8            installed       
libXScrnSaver.i386                       1.1.2-3.fc8            installed       
libXScrnSaver-devel.i386                 1.1.2-3.fc8            installed       
libXTrap.i386                            1.0.0-4.fc8            installed       
libXTrap-devel.i386                      1.0.0-4.fc8            installed       
libXau.i386                              1.0.3-3.fc8            installed       
libXau-devel.i386                        1.0.3-3.fc8            installed       
libXaw.i386                              1.0.4-1.fc8            installed       
libXaw-devel.i386                        1.0.4-1.fc8            installed       
libXcomposite.i386                       0.4.0-3.fc8            installed       
libXcomposite-devel.i386                 0.4.0-3.fc8            installed       
libXcursor.i386                          1.1.9-1.fc8            installed       
libXcursor-devel.i386                    1.1.9-1.fc8            installed       
libXdamage.i386                          1.1.1-3.fc8            installed       
libXdamage-devel.i386                    1.1.1-3.fc8            installed       
libXdmcp.i386                            1.0.2-4.fc8            installed       
libXdmcp-devel.i386                      1.0.2-4.fc8            installed       
libXevie.i386                            1.0.2-2.fc8            installed       
libXevie-devel.i386                      1.0.2-2.fc8            installed       
libXext.i386                             1.0.1-4.fc8            installed       
libXext-devel.i386                       1.0.1-4.fc8            installed       
libXfixes.i386                           4.0.3-2.fc8            installed       
libXfixes-devel.i386                     4.0.3-2.fc8            installed       
libXfont.i386                            1.3.1-2.fc8            installed       
libXfont-devel.i386                      1.3.1-2.fc8            installed       
libXfontcache.i386                       1.0.4-3.fc8            installed       
libXfontcache-devel.i386                 1.0.4-3.fc8            installed       
libXft.i386                              2.1.12-3.fc8           installed       
libXft-devel.i386                        2.1.12-3.fc8           installed       
libXi.i386                               1.1.3-1.fc8            installed       
libXi-devel.i386                         1.1.3-1.fc8            installed       
libXinerama.i386                         1.0.2-3.fc8            installed       
libXinerama-devel.i386                   1.0.2-3.fc8            installed       
libXmu.i386                              1.0.3-3.fc8            installed       
libXmu-devel.i386                        1.0.3-3.fc8            installed       
libXpm.i386                              3.5.7-1.fc8            installed       
libXpm-devel.i386                        3.5.7-1.fc8            installed       
libXrandr.i386                           1.2.2-1.fc8            installed       
libXrandr-devel.i386                     1.2.2-1.fc8            installed       
libXrender.i386                          0.9.4-1.fc8            installed       
libXrender-devel.i386                    0.9.4-1.fc8            installed       
libXres.i386                             1.0.3-3.fc8            installed       
libXres-devel.i386                       1.0.3-3.fc8            installed       
libXt.i386                               1.0.4-3.fc8            installed       
libXt-devel.i386                         1.0.4-3.fc8            installed       
libXtst.i386                             1.0.3-1.fc8            installed       
libXtst-devel.i386                       1.0.3-1.fc8            installed       
libXv.i386                               1.0.3-3.fc8            installed       
libXv-devel.i386                         1.0.3-3.fc8            installed       
libXvMC.i386                             1.0.4-3.fc8            installed       
libXvMC-devel.i386                       1.0.4-3.fc8            installed       
libXxf86dga.i386                         1.0.1-4.fc8            installed       
libXxf86dga-devel.i386                   1.0.1-4.fc8            installed       
libXxf86misc.i386                        1.0.1-4.fc8            installed       
libXxf86misc-devel.i386                  1.0.1-4.fc8            installed       
libXxf86vm.i386                          1.0.1-4.fc8            installed       
libXxf86vm-devel.i386                    1.0.1-4.fc8            installed       
libacl.i386                              2.2.39-13.fc8          installed       
libacl-devel.i386                        2.2.39-13.fc8          installed       
libao.i386                               0.8.8-5.fc8            installed       
libart_lgpl.i386                         2.3.19-3.fc8           installed       
libart_lgpl-devel.i386                   2.3.19-3.fc8           installed       
libattr.i386                             2.4.38-2.fc8           installed       
libattr-devel.i386                       2.4.38-2.fc8           installed       
libavc1394.i386                          0.5.3-1.fc6            installed       
libbeagle.i386                           0.2.18-5.fc8           installed       
libbonobo.i386                           2.20.3-1.fc8           installed       
libbonobo-devel.i386                     2.20.3-1.fc8           installed       
libbonoboui.i386                         2.20.0-1.fc8           installed       
libbonoboui-devel.i386                   2.20.0-1.fc8           installed       
libbtctl.i386                            0.9.0-3.fc8            installed       
libcap.i386                              1.10-30                installed       
libcap-devel.i386                        1.10-30                installed       
libcdio.i386                             0.78.2-5.fc8           installed       
libcroco.i386                            0.6.1-3.fc8            installed       
libcroco-devel.i386                      0.6.1-3.fc8            installed       
libdaemon.i386                           0.12-2.fc8             installed       
libdbi.i386                              0.8.2-2.fc8            installed       
libdbi-dbd-mysql.i386                    0.8.2-1.2.fc8          installed       
libdbi-drivers.i386                      0.8.2-1.2.fc8          installed       
libdhcp.i386                             1.27-4.fc8             installed       
libdhcp4client.i386                      12:3.0.6-12.fc8        installed       
libdhcp6client.i386                      0.10-52.fc8            installed       
libdmx.i386                              1.0.2-4.fc8            installed       
libdmx-devel.i386                        1.0.2-4.fc8            installed       
libdrm.i386                              2.3.0-7.fc8            installed       
libdrm-devel.i386                        2.3.0-7.fc8            installed       
libdv.i386                               1.0.0-3.fc8            installed       
libedit.i386                             2.10-3.20070831cvs.fc8 installed       
liberation-fonts.noarch                  1.0-1.fc8              installed       
libertas-usb8388-firmware.noarch         2:5.110.22.p14-1.fc8   installed       
libevent.i386                            1.3b-1.fc7             installed       
libexif.i386                             0.6.16-1.fc8           installed       
libflashsupport.i386                     000-0.1.svn20070904    installed       
libfontenc.i386                          1.0.4-4.fc8            installed       
libfontenc-devel.i386                    1.0.4-4.fc8            installed       
libgail-gnome.i386                       1.20.0-1.fc8           installed       
libgcc.i386                              4.1.2-33               installed       
libgcj.i386                              4.1.2-33               installed       
libgcj-devel.i386                        4.1.2-33               installed       
libgcj-src.i386                          4.1.2-33               installed       
libgcrypt.i386                           1.2.4-6                installed       
libgcrypt-devel.i386                     1.2.4-6                installed       
libgdiplus.i386                          1.2.5-1.fc8            installed       
libgfortran.i386                         4.1.2-33               installed       
libglade2.i386                           2.6.2-3.fc8            installed       
libglade2-devel.i386                     2.6.2-3.fc8            installed       
libglademm24.i386                        2.6.6-1.fc8            installed       
libgnome.i386                            2.20.1-2.fc8           installed       
libgnome-devel.i386                      2.20.1-2.fc8           installed       
libgnomecanvas.i386                      2.20.1-1.fc8           installed       
libgnomecanvas-devel.i386                2.20.1-1.fc8           installed       
libgnomecups.i386                        0.2.2-11.fc8           installed       
libgnomekbd.i386                         2.20.0-1.fc8           installed       
libgnomeprint22.i386                     2.18.4-1.fc8           installed       
libgnomeprint22-devel.i386               2.18.4-1.fc8           installed       
libgnomeprintui22.i386                   2.18.1-1.fc8           installed       
libgnomeprintui22-devel.i386             2.18.1-1.fc8           installed       
libgnomeui.i386                          2.20.1.1-1.fc8         installed       
libgnomeui-devel.i386                    2.20.1.1-1.fc8         installed       
libgomp.i386                             4.1.2-33               installed       
libgpg-error.i386                        1.5-6                  installed       
libgpg-error-devel.i386                  1.5-6                  installed       
libgpod.i386                             0.6.0-3.fc8            installed       
libgsf.i386                              1.14.7-1.fc8           installed       
libgsf-devel.i386                        1.14.7-1.fc8           installed       
libgssglue.i386                          0.1-4.fc8              installed       
libgtop2.i386                            2.20.2-1.fc8           installed       
libgtop2-devel.i386                      2.20.2-1.fc8           installed       
libicu.i386                              3.8-6.fc8              installed       
libid3tag.i386                           0.15.1b-5.fc8          installed       
libidn.i386                              0.6.14-4               installed       
libidn-devel.i386                        0.6.14-4               installed       
libiec61883.i386                         1.1.0-1.fc7            installed       
libieee1284.i386                         0.2.11-1.fc8           installed       
libiptcdata.i386                         1.0.2-1.fc7            installed       
libjpeg.i386                             6b-39.fc8              installed       
libjpeg-devel.i386                       6b-39.fc8              installed       
libmcpp.i386                             2.7.1-1.fc8            installed       
libmng.i386                              1.0.9-5.1              installed       
libmng-devel.i386                        1.0.9-5.1              installed       
libmusicbrainz.i386                      2.1.5-2.fc8            installed       
libnetfilter_conntrack.i386              0.0.82-1.fc8           installed       
libnfnetlink.i386                        0.0.30-1.fc8           installed       
libnl.i386                               1.1-1.fc8              installed       
libnotify.i386                           0.4.4-8.fc8            installed       
libogg.i386                              2:1.1.3-5.fc8          installed       
libogg-devel.i386                        2:1.1.3-5.fc8          installed       
liboil.i386                              0.3.12-11.fc8          installed       
libopenraw.i386                          0.0.2-5.fc7            installed       
libopenraw-gnome.i386                    0.0.2-5.fc7            installed       
libpcap.i386                             14:0.9.7-3.fc8         installed       
libpciaccess.i386                        0.9.1-1.fc8            installed       
libpng.i386                              2:1.2.29-1.fc8         installed       
libpng-devel.i386                        2:1.2.29-1.fc8         installed       
libpurple.i386                           2.4.3-1.fc8            installed       
libraw1394.i386                          1.3.0-7.fc8            installed       
libreadline-java.i386                    0.8.0-19.fc8           installed       
librsvg2.i386                            2.18.2-2.fc8           installed       
librsvg2-devel.i386                      2.18.2-2.fc8           installed       
libsamplerate.i386                       0.1.2-7.fc8            installed       
libsane-hpaio.i386                       2.8.2-1.fc8            installed       
libselinux.i386                          2.0.43-1.fc8           installed       
libselinux-devel.i386                    2.0.43-1.fc8           installed       
libselinux-python.i386                   2.0.43-1.fc8           installed       
libsemanage.i386                         2.0.12-3.fc8           installed       
libsepol.i386                            2.0.15-1.fc8           installed       
libsepol-devel.i386                      2.0.15-1.fc8           installed       
libsexy.i386                             0.1.11-3.fc8           installed       
libshout.i386                            2.2.2-2.fc8            installed       
libsigc++20.i386                         2.0.18-1               installed       
libsilc.i386                             1.0.2-6.fc8            installed       
libsmbclient.i386                        3.0.30-0.fc8           installed       
libsmbios-bin.i386                       0.13.13-1.fc8          installed       
libsmbios-libs.i386                      0.13.13-1.fc8          installed       
libsndfile.i386                          1.0.17-2.fc8           installed       
libsoup.i386                             2.2.104-1.fc8          installed       
libsoup-devel.i386                       2.2.104-1.fc8          installed       
libstdc++.i386                           4.1.2-33               installed       
libstdc++-devel.i386                     4.1.2-33               installed       
libswt3-gtk2.i386                        1:3.3.0-31.fc8         installed       
libsysfs.i386                            2.1.0-4.fc8            installed       
libtextcat.i386                          2.2-4.fc8              installed       
libthai.i386                             0.1.9-2.fc8            installed       
libtheora.i386                           1.0beta2-3.fc8         installed       
libtiff.i386                             3.8.2-9.fc8            installed       
libtiff-devel.i386                       3.8.2-9.fc8            installed       
libtirpc.i386                            0.1.7-15.fc8           installed       
libtool.i386                             1.5.24-3.fc8           installed       
libtool-ltdl.i386                        1.5.24-3.fc8           installed       
libusb.i386                              0.1.12-10.fc8          installed       
libuser.i386                             0.56.6-2               installed       
libuser-devel.i386                       0.56.6-2               installed       
libuser-python.i386                      0.56.6-2               installed       
libutempter.i386                         1.1.5-1.fc8            installed       
libvirt.i386                             0.4.4-2.fc8            installed       
libvisual.i386                           0.4.0-4.fc8            installed       
libvolume_id.i386                        118-1.fc8              installed       
libvorbis.i386                           1:1.2.0-2.fc8          installed       
libvorbis-devel.i386                     1:1.2.0-2.fc8          installed       
libwmf.i386                              0.2.8.4-17.fc8         installed       
libwnck.i386                             2.20.3-1.fc8           installed       
libwpd.i386                              0.8.12-1.fc8           installed       
libwvstreams.i386                        4.4.1-1.fc8            installed       
libxcb.i386                              1.1-1.1.fc8            installed       
libxcb-devel.i386                        1.1-1.1.fc8            installed       
libxkbfile.i386                          1.0.4-3.fc8            installed       
libxkbfile-devel.i386                    1.0.4-3.fc8            installed       
libxklavier.i386                         3.3-1.fc8              installed       
libxml2.i386                             2.6.32-1.fc8           installed       
libxml2-devel.i386                       2.6.32-1.fc8           installed       
libxml2-python.i386                      2.6.32-1.fc8           installed       
libxslt.i386                             1.1.24-1.fc8           installed       
libxslt-devel.i386                       1.1.24-1.fc8           installed       
libxslt-python.i386                      1.1.24-1.fc8           installed       
libyaz.i386                              3.0.34-1.fc8           installed       
liferea.i386                             1.4.15-3.fc8           installed       
linuxdoc-tools.i386                      0.9.21-10.fc8          installed       
linuxwacom.i386                          0.7.8.3-3.fc8          installed       
lklug-fonts.noarch                       0.2.2-5.fc8            installed       
lm_sensors.i386                          2.10.6-2.fc8           installed       
lockdev.i386                             1.0.1-11.fc8.1         installed       
lockdev-devel.i386                       1.0.1-11.fc8.1         installed       
log4j.i386                               1.2.14-3jpp.1.fc8      installed       
log4j-javadoc.i386                       1.2.14-3jpp.1.fc8      installed       
log4j-manual.i386                        1.2.14-3jpp.1.fc8      installed       
logrotate.i386                           3.7.6-2.2.fc8          installed       
logwatch.noarch                          7.3.6-15.fc8           installed       
lohit-fonts-bengali.noarch               2.1.9-1.fc8            installed       
lohit-fonts-gujarati.noarch              2.1.9-1.fc8            installed       
lohit-fonts-hindi.noarch                 2.1.9-1.fc8            installed       
lohit-fonts-kannada.noarch               2.1.9-1.fc8            installed       
lohit-fonts-malayalam.noarch             2.1.9-1.fc8            installed       
lohit-fonts-oriya.noarch                 2.1.9-1.fc8            installed       
lohit-fonts-punjabi.noarch               2.1.9-1.fc8            installed       
lohit-fonts-tamil.noarch                 2.1.9-1.fc8            installed       
lohit-fonts-telugu.noarch                2.1.9-1.fc8            installed       
lrzsz.i386                               0.12.20-22.1           installed       
lsof.i386                                4.78-7.fc8             installed       
ltrace.i386                              0.5-9.45svn.fc8        installed       
lucene.i386                              1.9.1-1jpp.5.fc8       installed       
lucene-contrib.i386                      1.9.1-1jpp.5.fc8       installed       
lvm2.i386                                2.02.28-1.fc8          installed       
lzo.i386                                 2.02-3.fc8             installed       
m4.i386                                  1.4.10-1.fc8           installed       
mailcap.noarch                           2.1.25-1.fc8           installed       
mailx.i386                               8.1.1-46.fc7           installed       
make.i386                                1:3.81-11.fc8          installed       
man.i386                                 1.6e-3.fc7             installed       
man-pages.noarch                         2.66-1.fc8             installed       
maven-doxia.i386                         1.0-0.1.a7.3jpp.5.fc8  installed       
maven-jxr.i386                           1.0-2jpp.4.fc8         installed       
maven-scm.i386                           1.0-0.1.b3.2jpp.2.fc8  installed       
maven-scm-test.i386                      1.0-0.1.b3.2jpp.2.fc8  installed       
maven-shared.i386                        1.0-4jpp.3.fc8         installed       
maven-shared-file-management.i386        1.0-4jpp.3.fc8         installed       
maven-shared-plugin-testing-harness.i386 1.0-4jpp.3.fc8         installed       
maven-surefire.i386                      1.5.3-2jpp.4.fc8       installed       
maven-surefire-booter.i386               1.5.3-2jpp.4.fc8       installed       
maven-wagon.noarch                       1.0-0.1.a5.3jpp.1.fc7  installed       
maven2.i386                              2.0.4-10jpp.8.fc8      installed       
maven2-common-poms.noarch                1.0-4jpp.2.fc7         installed       
mdadm.i386                               2.6.2-5.fc8            installed       
meanwhile.i386                           1.0.2-5.fc8            installed       
mecab.i386                               0.97-1.fc8             installed       
memcached.i386                           1.2.4-2.fc8            installed       
mesa-libGL.i386                          7.0.2-3.fc8            installed       
mesa-libGL-devel.i386                    7.0.2-3.fc8            installed       
mesa-libGLU.i386                         7.0.2-3.fc8            installed       
mesa-libGLU-devel.i386                   7.0.2-3.fc8            installed       
metacity.i386                            2.20.2-1.fc8           installed       
microcode_ctl.i386                       1:1.17-1.39.fc8        installed       
mingetty.i386                            1.07-6                 installed       
minicom.i386                             2.2-5.fc8              installed       
mkinitrd.i386                            6.0.19-4.fc8           installed       
mktemp.i386                              3:1.5-25.fc7           installed       
mlocate.i386                             0.21-1.fc8             installed       
mod_auth_mysql.i386                      1:3.0.0-5              installed       
mod_perl.i386                            2.0.3-14               installed       
mod_python.i386                          3.3.1-5                installed       
mod_ssl.i386                             1:2.2.8-1.fc8          installed       
modello.noarch                           1.0-0.1.a8.4jpp.3.fc7  installed       
module-init-tools.i386                   3.4-2.fc8              installed       
mono-addins.i386                         0.3-4.fc8              installed       
mono-core.i386                           1.2.5.1-3.fc8          installed       
mono-data.i386                           1.2.5.1-3.fc8          installed       
mono-data-sqlite.i386                    1.2.5.1-3.fc8          installed       
mono-web.i386                            1.2.5.1-3.fc8          installed       
mono-winforms.i386                       1.2.5.1-3.fc8          installed       
mpage.i386                               2.5.6-1.fc8            installed       
mpfr.i386                                2.3.0-1.fc8            installed       
msv-msv.i386                             1:1.2-0.1.20050722.3jp installed       
msv-xsdlib.i386                          1:1.2-0.1.20050722.3jp installed       
mtr.i386                                 2:0.72-3.fc8           installed       
muine.i386                               0.8.8-3.fc8            installed       
mutt.i386                                5:1.5.18-2.fc8         installed       
mx.i386                                  2.0.6-3                installed       
mx4j.i386                                1:3.0.1-6jpp.4         installed       
mx4j-javadoc.i386                        1:3.0.1-6jpp.4         installed       
mx4j-manual.i386                         1:3.0.1-6jpp.4         installed       
mysql.i386                               5.0.45-6.fc8           installed       
mysql-bench.i386                         5.0.45-6.fc8           installed       
mysql-connector-java.i386                1:3.1.12-3.fc6         installed       
mysql-connector-odbc.i386                3.51.14r248-2.fc8      installed       
mysql-devel.i386                         5.0.45-6.fc8           installed       
mysql-libs.i386                          5.0.45-6.fc8           installed       
mysql-server.i386                        5.0.45-6.fc8           installed       
nano.i386                                2.0.6-2.fc8            installed       
nash.i386                                6.0.19-4.fc8           installed       
nautilus.i386                            2.20.0-9.fc8           installed       
nautilus-cd-burner.i386                  2.20.0-1.fc8           installed       
nautilus-extensions.i386                 2.20.0-9.fc8           installed       
nautilus-sendto.i386                     1.0.0-1.fc8            installed       
nc.i386                                  1.84-13.fc8            installed       
ncurses.i386                             5.6-12.20070812.fc8    installed       
ncurses-devel.i386                       5.6-12.20070812.fc8    installed       
nekohtml.noarch                          0.9.5-4jpp.1.fc7       installed       
neon.i386                                0.27.2-2               installed       
net-snmp.i386                            1:5.4.1-7.fc8          installed       
net-snmp-libs.i386                       1:5.4.1-7.fc8          installed       
net-tools.i386                           1.60-84.fc8            installed       
netpbm.i386                              10.35.45-1.fc8         installed       
netpbm-devel.i386                        10.35.45-1.fc8         installed       
netpbm-progs.i386                        10.35.45-1.fc8         installed       
newt.i386                                0.52.7-4.fc8           installed       
newt-devel.i386                          0.52.7-4.fc8           installed       
newt-python.i386                         0.52.7-4.fc8           installed       
nfs-utils.i386                           1:1.1.1-2.fc8          installed       
nfs-utils-lib.i386                       1.1.0-4.fc8            installed       
nmap.i386                                2:4.52-1.fc8           installed       
nodoka-metacity-theme.noarch             0.3.2-2.fc8            installed       
notification-daemon.i386                 0.3.7-6.fc8            installed       
notify-python.i386                       0.1.1-2.fc8            installed       
nscd.i386                                2.7-2                  installed       
nspluginwrapper.i386                     0.9.91.5-18.fc8        installed       
nspr.i386                                4.7.1-0.8.1.fc8        installed       
nspr-devel.i386                          4.7.1-0.8.1.fc8        installed       
nss.i386                                 3.12.0.3-0.8.2.fc8     installed       
nss-devel.i386                           3.12.0.3-0.8.2.fc8     installed       
nss-tools.i386                           3.12.0.3-0.8.2.fc8     installed       
nss_compat_ossl.i386                     0.9.2-4.fc8            installed       
nss_db.i386                              2.2-40.fc8             installed       
nss_ldap.i386                            257-4.fc8              installed       
ntfs-3g.i386                             2:1.2712-1.fc8         installed       
ntfsprogs.i386                           1.13.1-8.fc8           installed       
ntp.i386                                 4.2.4p4-1.fc8          installed       
ntsysv.i386                              1.3.36-1               installed       
numactl.i386                             0.9.8-5.fc8            installed       
obexftp.i386                             0.22-0.5.rc7.fc8       installed       
opal.i386                                2.2.11-1.fc8           installed       
openais.i386                             0.80.1-6               installed       
openjade.i386                            1.3.2-30.fc8           installed       
openldap.i386                            2.3.39-4.fc8           installed       
openldap-clients.i386                    2.3.39-4.fc8           installed       
openldap-devel.i386                      2.3.39-4.fc8           installed       
openobex.i386                            1.3-12.fc8             installed       
openoffice.org-calc.i386                 1:2.3.0-6.15.fc8       installed       
openoffice.org-core.i386                 1:2.3.0-6.15.fc8       installed       
openoffice.org-draw.i386                 1:2.3.0-6.15.fc8       installed       
openoffice.org-graphicfilter.i386        1:2.3.0-6.15.fc8       installed       
openoffice.org-impress.i386              1:2.3.0-6.15.fc8       installed       
openoffice.org-langpack-en.i386          1:2.3.0-6.15.fc8       installed       
openoffice.org-math.i386                 1:2.3.0-6.15.fc8       installed       
openoffice.org-writer.i386               1:2.3.0-6.15.fc8       installed       
openoffice.org-xsltfilter.i386           1:2.3.0-6.15.fc8       installed       
opensp.i386                              1.5.2-6.fc8            installed       
openssh.i386                             4.7p1-4.fc8            installed       
openssh-askpass.i386                     4.7p1-4.fc8            installed       
openssh-clients.i386                     4.7p1-4.fc8            installed       
openssh-server.i386                      4.7p1-4.fc8            installed       
openssl.i686                             0.9.8b-17.fc8          installed       
openssl-devel.i386                       0.9.8b-17.fc8          installed       
openvpn.i386                             2.1-0.26.rc8.fc8       installed       
oprofile.i386                            0.9.3-18.fc8           installed       
oprofile-gui.i386                        0.9.3-18.fc8           installed       
orca.i386                                2.20.3-1.fc8           installed       
paktype-fonts.noarch                     2.0-2.fc8              installed       
pam.i386                                 0.99.8.1-17.1.fc8      installed       
pam-devel.i386                           0.99.8.1-17.1.fc8      installed       
pam_ccreds.i386                          4-3.fc8                installed       
pam_krb5.i386                            2.2.18-1               installed       
pam_passwdqc.i386                        1.0.4-4                installed       
pam_pkcs11.i386                          0.5.3-25               installed       
pam_smb.i386                             1.1.7-7.2.2            installed       
pango.i386                               1.18.4-1.fc8           installed       
pango-devel.i386                         1.18.4-1.fc8           installed       
paps.i386                                0.6.8-6.fc8            installed       
paps-libs.i386                           0.6.8-6.fc8            installed       
parted.i386                              1.8.6-10.fc8           installed       
passivetex.noarch                        1.25-5.1.1             installed       
passwd.i386                              0.74-5.fc8             installed       
patch.i386                               2.5.4-30.fc8           installed       
patchutils.i386                          0.2.31-3.fc8           installed       
pavucontrol.i386                         0.9.5-0.4.svn20070925. installed       
pax.i386                                 3.4-4.fc8              installed       
pciutils.i386                            2.2.9-1.fc8            installed       
pciutils-devel.i386                      2.2.9-1.fc8            installed       
pcmciautils.i386                         014-11.fc8             installed       
pcre.i386                                7.3-4.fc8              installed       
pcsc-lite.i386                           1.3.3-1.fc8            installed       
pcsc-lite-devel.i386                     1.3.3-1.fc8            installed       
pcsc-lite-libs.i386                      1.3.3-1.fc8            installed       
perl.i386                                4:5.8.8-40.fc8         installed       
