Installed Packages
bind-utils.i386                          32:9.5.0-28.P1.fc8     installed       
binutils.i386                            2.17.50.0.18-1         installed       
binutils-devel.i386                      2.17.50.0.18-1         installed       
bison.i386                               2.3-4.fc8              installed       
bitmap-fonts.noarch                      0.3-5.1.2.fc7          installed       
bittorrent.noarch                        4.4.0-6.fc8            installed       
bluecurve-icon-theme.noarch              8.0.0-1.fc8            installed       
bluez-gnome.i386                         0.14-8.fc8             installed       
bluez-libs.i386                          3.20-1.fc8             installed       
bluez-utils.i386                         3.20-7.fc8             installed       
bluez-utils-alsa.i386                    3.20-7.fc8             installed       
bluez-utils-cups.i386                    3.20-7.fc8             installed       
bonnie++.i386                            1.03a-7.fc8            installed       
boost.i386                               1.34.1-7.fc8           installed       
boost-devel.i386                         1.34.1-7.fc8           installed       
bridge-utils.i386                        1.2-2.fc8              installed       
bsf.i386                                 2.3.0-11jpp.1          installed       
bsh.i386                                 1.3.0-9jpp.2           installed       
bug-buddy.i386                           1:2.20.1-1.fc8         installed       
byacc.i386                               1.9.20050813-2.fc8     installed       
bzip2.i386                               1.0.4-13.fc8           installed       
bzip2-devel.i386                         1.0.4-13.fc8           installed       
bzip2-libs.i386                          1.0.4-13.fc8           installed       
cadaver.i386                             0.23.0-2               installed       
cairo.i386                               1.4.14-1.fc8           installed       
cairo-devel.i386                         1.4.14-1.fc8           installed       
cairomm.i386                             1.4.4-1.fc8            installed       
ccache.i386                              2.4-11.fc8             installed       
ccid.i386                                1.2.1-3.fc8            installed       
cdparanoia.i386                          alpha9.8-27.2          installed       
cdparanoia-libs.i386                     alpha9.8-27.2          installed       
cdrdao.i386                              1.2.2-3                installed       
checkpolicy.i386                         2.0.4-1.fc8            installed       
checkstyle.noarch                        4.1-4jpp.2.fc8         installed       
chkconfig.i386                           1.3.36-1               installed       
cjkunifonts-uming.noarch                 0.1.20060928-4.fc8     installed       
classpathx-jaf.i386                      1.0-9jpp.1             installed       
classpathx-jaf-javadoc.i386              1.0-9jpp.1             installed       
classpathx-mail.i386                     1.1.1-4jpp.3           installed       
classpathx-mail-javadoc.i386             1.1.1-4jpp.3           installed       
classworlds.noarch                       1.1-1jpp.1.fc7         installed       
cman.i386                                2.0.60-3.fc7           installed       
codeina.noarch                           0.10.1-7.fc8           installed       
compat-db.i386                           4.5.20-3.fc8           installed       
compiz.i386                              0.6.2-3.fc8            installed       
compiz-gnome.i386                        0.6.2-3.fc8            installed       
comps-extras.noarch                      13-1                   installed       
control-center.i386                      1:2.20.3-3.fc8         installed       
control-center-filesystem.i386           1:2.20.3-3.fc8         installed       
coolkey.i386                             1.1.0-5.fc8            installed       
coolkey-devel.i386                       1.1.0-5.fc8            installed       
coreutils.i386                           6.9-17.fc8             installed       
cpio.i386                                2.9-7.fc8              installed       
cpp.i386                                 4.1.2-33               installed       
cpuspeed.i386                            1:1.2.1-5.fc8          installed       
cracklib.i386                            2.8.10-3               installed       
cracklib-dicts.i386                      2.8.10-3               installed       
cracklib-python.i386                     2.8.10-3               installed       
crontabs.noarch                          1.10-18.fc8            installed       
cryptix-asn1-javadoc.i386                20011119-7jpp.2        installed       
cryptix-javadoc.i386                     3.2.0-9jpp.3.fc8       installed       
crypto-utils.i386                        2.3-4                  installed       
cryptsetup-luks.i386                     1.0.5-7.fc8            installed       
cscope.i386                              15.5-15.4.fc7          installed       
ctags.i386                               5.6-1.1                installed       
cups.i386                                1:1.3.7-4.fc8          installed       
cups-libs.i386                           1:1.3.7-4.fc8          installed       
cupsddk-drivers.i386                     1.2.3-3.fc8            installed       
curl.i386                                7.18.2-1.fc8           installed       
curl-devel.i386                          7.18.2-1.fc8           installed       
cvs.i386                                 1.11.22-13.fc8         installed       
cyrus-sasl.i386                          2.1.22-8.fc8           installed       
cyrus-sasl-devel.i386                    2.1.22-8.fc8           installed       
cyrus-sasl-lib.i386                      2.1.22-8.fc8           installed       
cyrus-sasl-md5.i386                      2.1.22-8.fc8           installed       
cyrus-sasl-plain.i386                    2.1.22-8.fc8           installed       
db4.i386                                 4.6.21-2.fc8           installed       
db4-cxx.i386                             4.6.21-2.fc8           installed       
